group,position,team,team_code,confederation,fifa_rank,fifa_points,is_host
A,1,Mexico,MEX,CONCACAF,15,1681.03,1
A,2,South Africa,RSA,CAF,59,1429.73,0
A,3,Korea Republic,KOR,AFC,25,1588.67,0
A,4,Czechia,CZE,UEFA,38,1513.74,0
B,1,Canada,CAN,CONCACAF,30,1556.48,1
B,2,Bosnia and Herzegovina,BIH,UEFA,63,1398.23,0
B,3,Qatar,QAT,AFC,55,1454.96,0
B,4,Switzerland,SUI,UEFA,19,1649.40,0
C,1,Brazil,BRA,CONMEBOL,6,1761.16,0
C,2,Morocco,MAR,CAF,8,1756.80,0
C,3,Haiti,HAI,CONCACAF,83,1291.71,0
C,4,Scotland,SCO,UEFA,43,1498.35,0
D,1,USA,USA,CONCACAF,16,1673.13,1
D,2,Paraguay,PAR,CONMEBOL,41,1503.51,0
D,3,Australia,AUS,AFC,27,1580.68,0
D,4,Türkiye,TUR,UEFA,22,1599.03,0
E,1,Germany,GER,UEFA,10,1730.37,0
E,2,Curaçao,CUW,CONCACAF,82,1294.66,0
E,3,Côte d'Ivoire,CIV,CAF,34,1532.97,0
E,4,Ecuador,ECU,CONMEBOL,23,1594.79,0
F,1,Netherlands,NED,UEFA,7,1757.87,0
F,2,Japan,JPN,AFC,18,1660.43,0
F,3,Sweden,SWE,UEFA,37,1514.77,0
F,4,Tunisia,TUN,CAF,44,1483.05,0
G,1,Belgium,BEL,UEFA,9,1734.72,0
G,2,Egypt,EGY,CAF,29,1563.24,0
G,3,IR Iran,IRN,AFC,20,1615.30,0
G,4,New Zealand,NZL,OFC,85,1281.57,0
H,1,Spain,ESP,UEFA,2,1876.40,0
H,2,Cabo Verde,CPV,CAF,68,1371.13,0
H,3,Saudi Arabia,KSA,AFC,61,1421.43,0
H,4,Uruguay,URU,CONMEBOL,17,1673.07,0
I,1,France,FRA,UEFA,1,1877.32,0
I,2,Senegal,SEN,CAF,13,1691.97,0
I,3,Iraq,IRQ,AFC,57,1447.13,0
I,4,Norway,NOR,UEFA,31,1550.95,0
J,1,Argentina,ARG,CONMEBOL,3,1874.82,0
J,2,Algeria,ALG,CAF,28,1564.26,0
J,3,Austria,AUT,UEFA,24,1593.45,0
J,4,Jordan,JOR,AFC,64,1391.45,0
K,1,Portugal,POR,UEFA,5,1763.83,0
K,2,Congo DR,COD,CAF,46,1479.64,0
K,3,Uzbekistan,UZB,AFC,49,1469.40,0
K,4,Colombia,COL,CONMEBOL,12,1693.09,0
L,1,England,ENG,UEFA,4,1825.97,0
L,2,Croatia,CRO,UEFA,11,1717.06,0
L,3,Ghana,GHA,CAF,73,1346.31,0
L,4,Panama,PAN,CONCACAF,33,1540.64,0
